회사명,회사정보,제목,링크,경력및고용형태,학력,마감일,직무분야,tech,location
(주)티피씨인터넷,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=RVQ2MUtvTjNyS0cySGF4R0JwNGU0Zz09,서버/백엔드 개발자 (Node.js / 3-5년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49584799,3 ~ 5년 · 정규직,학력무관,~01.11(토),"백엔드/서버개발, 웹개발, 프론트엔드, DBA, SE(시스템엔지니어)",218,101000
(주)에프아이솔루션,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=VDJPbnBVWi91WUFjUnBaVmZTL0E1Zz09,[Python 프로그래밍] 백엔드/서버개발 경력직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49588133,경력무관 · 정규직 외,학력무관,~01.12(일),"백엔드/서버개발, 클라우드, API, 인터페이스, Flask",218,101000
브랜드인게이지먼트네트워크인크(영업소),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=bDVUTDlqZnV3a2VlemhKcm5Td3VwUT09,Senior Full Stack Developer 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49526136,5 ~ 15년 · 정규직,대학교(4년)↑,상시채용,"음성인식, NLP(자연어처리), TTS, AWS, Git",218,101000
스피치로그(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=cGI2enJ2MVgyNitNNXdaQlhMcmxVZz09,데이터엔지니어/머신러닝엔지니어/플랫폼개발자/프로젝트매니저,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49583737,경력 3년↑ · 정규직,"대학(2,3년)↑",상시채용,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 데이터마이닝, 데이터시각화",218,101000
엘브이아이에스코리아(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=YkY2ME5YZXJVcVpsVXZsVzB5NlZnUT09,[AI/헬스케어] 머신러닝 엔지니어 경력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49382192,경력 3년↑ · 정규직 외,석사↑,~01.11(토),"머신러닝, 네트워크, 딥러닝, 모델링, 클라우드",218,101000
아일리스프런티어(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=ZndZZmIyK1BURW0wNlJaNlJUb25Ydz09,AI 서비스 - 자연어처리 (NLP) / Python 엔진 개발 (추가 채용),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49565317,1 ~ 3년 · 정규직,학력무관,~01.08(수),"데이터분석가, 웹개발, DBA, SE(시스템엔지니어), 딥러닝",218,101000
(주)인티그리트,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=ZFJmWkFkV3FzaGl0ckpMY1RHSGpnZz09,"[지능형 로보틱스 플랫폼] AI 플랫폼,디바이스S/W, 펌웨어 개발",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49556133,신입 · 경력 · 정규직,학력무관,~01.08(수),"딥러닝, 머신러닝, 솔루션, 임베디드, 자율주행",218,101000
(주)마케팅레버리지,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=N0ZmQklhVVdBcS9rbHhhOERlSnhXQT09,"[주 35시간] 마케팅 대행사, 풀스택 개발자 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49571556,경력 5년↑ · 정규직,고졸↑,~02.07(금),"백엔드/서버개발, 웹개발, 개발PM, 클라우드, API",218,101000
시티아이랩(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=V3ZiNDBCQXlFVGUraTArUjFWUERPUT09,[양재/AI 스타트업] [시티아이랩(주)] 연구원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49568701,신입 · 경력 · 정규직 외,"대학(2,3년)↑",상시채용,"데이터엔지니어, 빅데이터, 자율주행, API, Nginx",218,101000
(주)디어유,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Q3ZwdklhbHRZTTNrTHBqakk2cUxXdz09,Account & Community 개발 팀장급 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49539677,10 ~ 15년 · 정규직,대학교(4년)↑,~01.06(월),"백엔드/서버개발, 웹개발, 프론트엔드, DBA, 인프라",218,101000
